action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,25,green,left,-0.5,None,None,None,1
None,24,red,right,0.0,None,None,None,1
right,23,red,right,2.0,None,None,None,1
None,22,red,right,0.0,None,None,None,1
None,21,red,right,0.0,None,None,None,1
left,20,green,right,-0.5,None,None,None,1
left,19,green,right,-0.5,None,None,None,1
forward,18,red,left,-1.0,None,None,None,1
left,17,red,left,-1.0,None,None,None,1
left,16,red,left,-1.0,None,None,None,1
left,15,green,left,2.0,None,None,None,1
right,14,red,forward,-0.5,None,None,None,1
None,13,green,left,0.0,None,None,None,1
left,12,green,left,2.0,None,None,None,1
right,11,green,forward,-0.5,None,None,None,1
forward,10,red,left,-1.0,None,None,None,1
forward,9,green,left,-0.5,None,None,None,1
forward,8,red,left,-1.0,None,None,None,1
right,7,red,left,-0.5,None,None,None,1
forward,6,red,right,-1.0,None,None,None,1
None,5,green,right,0.0,None,None,None,1
right,4,green,right,2.0,None,None,None,1
left,3,green,right,-0.5,None,None,None,1
forward,2,red,right,-1.0,None,None,None,1
forward,1,green,right,-0.5,None,None,None,1
right,0,green,right,2.0,None,None,None,1
None,-1,red,right,0.0,None,None,None,1
right,-2,red,right,2.0,None,None,None,1
forward,-3,green,forward,2.0,None,None,None,1
None,-4,red,forward,0.0,None,None,None,1
None,-5,red,forward,0.0,None,None,None,1
forward,-6,red,forward,-1.0,None,None,None,1
forward,-7,green,forward,2.0,None,None,None,1
forward,-8,green,forward,2.0,None,None,None,1
right,-9,green,right,2.0,None,None,None,1
left,-10,green,forward,-0.5,None,None,None,1
left,-11,green,forward,-0.5,None,None,None,1
left,-12,red,right,-1.0,None,None,None,1
right,-13,red,right,2.0,None,None,None,1
forward,-14,red,forward,-1.0,None,None,None,1
forward,-15,red,forward,-1.0,None,None,None,1
right,-16,red,forward,-0.5,None,None,None,1
forward,-17,green,left,-0.5,None,None,None,1
right,-18,green,left,-0.5,None,None,None,1
forward,-19,green,right,-0.5,None,None,None,1
left,-20,green,left,2.0,None,None,None,1
None,25,green,left,0.0,None,None,None,2
left,24,green,left,2.0,None,None,None,2
forward,23,green,forward,2.0,None,None,None,2
forward,22,green,forward,2.0,None,None,None,2
left,21,green,left,2.0,None,None,None,2
left,20,green,forward,-0.5,None,None,None,2
left,19,green,right,-0.5,None,None,None,2
forward,18,green,left,-0.5,None,None,None,2
left,17,red,left,-1.0,None,None,None,2
right,16,red,left,-0.5,None,None,None,2
None,15,red,right,0.0,None,None,None,2
