action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
right,30,red,right,2.0,None,None,None,1
right,29,red,right,2.0,None,None,None,1
forward,28,green,forward,2.0,None,None,None,1
right,27,red,right,2.0,None,None,None,1
forward,26,red,forward,-1.0,None,None,None,1
None,25,red,forward,0.0,None,None,None,1
None,24,red,forward,0.0,None,None,None,1
None,23,red,forward,0.0,None,None,None,1
forward,22,green,forward,2.0,None,None,None,1
None,21,red,forward,0.0,None,None,None,1
None,20,red,forward,0.0,None,None,None,1
None,19,red,forward,0.0,None,None,None,1
forward,18,green,forward,2.0,None,None,None,1
None,17,red,forward,0.0,None,None,None,1
None,16,red,forward,0.0,None,None,None,1
forward,15,green,forward,2.0,None,None,None,1
None,14,red,forward,0.0,None,None,None,1
None,13,red,forward,0.0,None,None,None,1
forward,12,green,forward,12.0,None,None,None,1
right,50,green,right,2.0,None,None,None,2
None,49,red,forward,0.0,None,None,None,2
None,48,red,forward,0.0,None,None,None,2
None,47,red,forward,0.0,None,None,None,2
forward,46,green,forward,2.0,None,None,None,2
None,45,red,forward,0.0,None,None,None,2
None,44,red,forward,0.0,None,None,None,2
None,43,red,forward,0.0,None,None,None,2
None,42,red,forward,0.0,None,None,None,2
None,41,red,forward,0.0,None,None,None,2
forward,40,green,forward,2.0,None,None,None,2
None,39,red,forward,0.0,None,None,None,2
None,38,red,forward,0.0,None,None,None,2
None,37,red,forward,0.0,None,None,None,2
None,36,red,forward,0.0,None,None,None,2
forward,35,green,forward,2.0,None,None,None,2
None,34,red,forward,0.0,None,None,None,2
None,33,red,forward,0.0,None,None,None,2
None,32,red,forward,0.0,None,None,None,2
None,31,red,forward,0.0,None,None,None,2
forward,30,green,forward,2.0,None,None,None,2
forward,29,green,forward,2.0,None,None,None,2
right,28,red,right,2.0,None,None,None,2
None,27,red,forward,0.0,None,None,None,2
forward,26,green,forward,2.0,None,None,None,2
None,25,red,forward,0.0,None,None,None,2
None,24,red,forward,0.0,None,None,None,2
None,23,red,forward,0.0,None,None,None,2
forward,22,green,forward,2.0,None,None,None,2
forward,21,green,forward,12.0,None,None,None,2
None,20,red,forward,0.0,None,None,None,3
None,19,red,forward,0.0,None,None,None,3
None,18,red,forward,0.0,None,None,None,3
None,17,red,forward,0.0,None,None,None,3
None,16,red,forward,0.0,None,None,None,3
forward,15,green,forward,2.0,None,None,None,3
forward,14,green,forward,2.0,None,None,None,3
left,13,red,left,-1.0,None,None,None,3
None,12,red,left,0.0,None,None,None,3
left,11,green,left,2.0,None,None,None,3
forward,10,green,forward,12.0,None,None,None,3
right,20,red,right,2.0,None,None,None,4
None,19,red,forward,0.0,None,None,None,4
None,18,red,forward,0.0,None,None,None,4
None,17,red,forward,0.0,None,None,None,4
forward,16,green,forward,2.0,None,None,None,4
forward,15,green,forward,2.0,None,None,None,4
forward,14,green,forward,12.0,None,None,None,4
forward,35,green,forward,2.0,None,right,None,5
forward,34,green,forward,2.0,None,None,None,5
None,33,red,forward,0.0,None,None,None,5
None,32,red,forward,0.0,None,None,None,5
forward,31,green,forward,2.0,None,None,None,5
None,30,red,forward,0.0,None,None,None,5
None,29,red,forward,0.0,None,None,None,5
None,28,red,forward,0.0,None,None,None,5
forward,27,green,forward,2.0,None,None,None,5
None,26,red,left,0.0,None,None,None,5
left,25,green,left,2.0,None,None,None,5
None,24,red,forward,0.0,None,None,None,5
forward,23,green,forward,2.0,None,None,None,5
forward,22,green,forward,12.0,None,None,None,5
right,40,red,right,2.0,None,None,None,6
None,39,red,forward,0.0,None,None,None,6
None,38,red,forward,0.0,None,None,None,6
None,37,red,forward,0.0,None,None,None,6
forward,36,green,forward,2.0,None,None,right,6
None,35,red,forward,0.0,None,None,None,6
None,34,red,forward,0.0,None,None,None,6
None,33,red,forward,0.0,None,None,None,6
forward,32,green,forward,2.0,None,None,None,6
None,31,red,forward,0.0,None,None,None,6
None,30,red,forward,0.0,None,None,None,6
None,29,red,forward,0.0,None,None,None,6
