action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
None,40,red,right,0.0,0,None,None,None,1
left,39,red,right,-1.0,1,None,None,None,1
left,38,red,right,-1.0,2,None,None,None,1
forward,37,red,right,-1.0,3,None,None,None,1
left,36,green,right,-0.5,4,None,None,None,1
forward,35,red,left,-1.0,5,None,None,None,1
right,34,red,left,-0.5,6,None,None,None,1
forward,33,green,right,-0.5,7,None,None,None,1
forward,32,green,left,-0.5,8,None,None,None,1
right,31,red,right,2.0,9,None,None,None,1
right,30,red,right,2.0,10,None,None,None,1
None,29,red,left,0.0,11,None,None,None,1
forward,28,green,left,-0.5,12,None,None,left,1
left,27,green,forward,-0.5,13,None,None,None,1
None,26,green,right,0.0,14,None,None,None,1
right,25,green,right,2.0,15,None,None,None,1
right,24,red,forward,-0.5,16,None,None,None,1
forward,23,green,left,-0.5,17,None,None,None,1
left,22,red,left,-1.0,18,None,None,None,1
left,21,red,left,-1.0,19,None,None,None,1
None,20,green,left,0.0,20,None,None,None,1
forward,19,green,left,-0.5,21,None,None,None,1
forward,18,green,left,-0.5,22,None,None,None,1
None,17,red,left,0.0,23,None,None,None,1
forward,16,green,left,-0.5,24,None,None,None,1
forward,15,green,left,-0.5,25,None,None,None,1
forward,14,green,left,-0.5,26,None,None,None,1
forward,13,green,left,-0.5,27,None,None,None,1
None,12,red,left,0.0,28,None,None,None,1
None,11,red,left,0.0,29,None,None,None,1
forward,10,green,left,-0.5,30,None,None,None,1
None,9,red,left,0.0,31,None,None,None,1
None,8,red,left,0.0,32,None,None,None,1
forward,7,green,left,-0.5,33,None,None,None,1
forward,6,green,left,-0.5,34,None,None,None,1
forward,5,green,left,-0.5,35,None,None,None,1
None,4,red,left,0.0,36,None,None,None,1
None,3,red,left,0.0,37,None,None,None,1
None,2,red,left,0.0,38,None,None,None,1
None,1,red,left,0.0,39,None,None,None,1
left,0,green,left,2.0,40,forward,None,None,1
forward,-1,red,forward,-1.0,41,None,None,None,1
left,-2,red,forward,-1.0,42,None,None,None,1
left,-3,red,forward,-1.0,43,None,None,None,1
left,-4,green,forward,-0.5,44,None,None,None,1
None,-5,green,right,0.0,45,None,None,None,1
None,-6,green,right,0.0,46,None,None,None,1
None,-7,green,right,0.0,47,None,None,None,1
right,-8,red,right,2.0,48,None,None,None,1
None,-9,red,forward,0.0,49,None,None,None,1
left,-10,green,forward,-0.5,50,None,None,None,1
None,-11,green,right,0.0,51,None,None,None,1
None,-12,green,right,0.0,52,None,None,None,1
None,-13,green,right,0.0,53,None,None,None,1
None,-14,green,right,0.0,54,None,None,None,1
right,-15,red,right,2.0,55,None,None,None,1
left,-16,green,forward,-0.5,56,None,None,None,1
None,-17,green,right,0.0,57,None,None,None,1
None,-18,green,right,0.0,58,None,None,None,1
None,-19,green,right,0.0,59,None,None,None,1
right,-20,red,right,2.0,60,None,None,None,1
left,-21,green,forward,-0.5,61,None,None,None,1
right,-22,red,right,2.0,62,None,None,None,1
left,-23,green,forward,-0.5,63,None,None,None,1
right,-24,red,right,2.0,64,None,None,None,1
None,-25,red,left,0.0,65,None,None,None,1
None,-26,red,left,0.0,66,None,None,None,1
None,-27,red,left,0.0,67,None,None,None,1
forward,-28,green,left,-0.5,68,None,None,None,1
None,-29,red,forward,0.0,69,None,None,None,1
None,-30,red,forward,0.0,70,None,None,None,1
None,-31,red,forward,0.0,71,None,None,None,1
left,-32,green,forward,-0.5,72,None,None,None,1
right,-33,red,right,2.0,73,None,None,None,1
None,-34,red,forward,0.0,74,None,None,None,1
None,-35,red,forward,0.0,75,None,None,None,1
left,-36,green,forward,-0.5,76,None,None,None,1
None,-37,green,right,0.0,77,None,right,None,1
None,-38,green,right,0.0,78,None,None,None,1
None,-39,green,right,0.0,79,None,None,None,1
right,-40,red,right,2.0,80,None,None,None,1
None,-41,red,forward,0.0,81,None,None,None,1
None,-42,red,forward,0.0,82,None,None,None,1
None,-43,red,forward,0.0,83,None,None,None,1
left,-44,green,forward,-0.5,84,None,None,None,1
right,-45,red,right,2.0,85,None,None,None,1
left,-46,green,forward,-0.5,86,None,None,None,1
right,-47,red,right,2.0,87,None,None,None,1
None,-48,red,forward,0.0,88,None,None,None,1
None,-49,red,forward,0.0,89,None,None,None,1
left,-50,green,forward,-0.5,90,None,None,None,1
right,-51,red,right,2.0,91,None,None,None,1
left,-52,green,forward,-0.5,92,None,None,None,1
None,-53,green,right,0.0,93,None,None,None,1
None,-54,green,right,0.0,94,None,None,None,1
right,-55,red,right,2.0,95,None,None,None,1
left,-56,green,forward,-0.5,96,None,None,None,1
None,-57,green,right,0.0,97,None,None,None,1
None,-58,green,right,0.0,98,None,None,None,1
None,-59,green,right,0.0,99,None,None,None,1
right,-60,red,right,2.0,100,None,None,None,1
forward,-61,green,left,-0.5,101,None,None,None,1
None,-62,red,forward,0.0,102,None,None,None,1
None,-63,red,forward,0.0,103,None,None,None,1
left,-64,green,forward,-0.5,104,None,None,None,1
None,-65,green,right,0.0,105,None,None,None,1
None,-66,green,right,0.0,106,None,None,None,1
None,-67,green,right,0.0,107,None,None,None,1
right,-68,red,right,2.0,108,None,None,None,1
None,-69,red,forward,0.0,109,None,None,None,1
left,-70,green,forward,-0.5,110,None,None,None,1
right,-71,red,right,2.0,111,None,None,None,1
None,-72,red,forward,0.0,112,None,None,None,1
None,-73,red,forward,0.0,113,None,None,None,1
None,-74,red,forward,0.0,114,None,None,None,1
None,-75,red,forward,0.0,115,None,None,None,1
left,-76,green,forward,-0.5,116,None,None,None,1
right,-77,red,right,2.0,117,None,None,None,1
left,-78,green,forward,-0.5,118,None,None,None,1
None,-79,green,right,0.0,119,None,None,None,1
right,-80,red,right,2.0,120,None,None,None,1
left,-81,green,forward,-0.5,121,None,None,None,1
right,-82,red,right,2.0,122,None,None,None,1
None,-83,red,forward,0.0,123,None,None,None,1
left,-84,red,forward,-1.0,124,None,left,None,1
None,-85,green,forward,0.0,125,None,left,None,1
None,-86,green,forward,0.0,126,None,left,None,1
left,-87,green,forward,-0.5,127,None,left,None,1
right,-88,red,right,2.0,128,None,None,None,1
None,-89,red,forward,0.0,129,None,None,None,1
left,-90,green,forward,-0.5,130,None,None,None,1
None,-91,green,right,0.0,131,None,None,None,1
right,-92,red,right,2.0,132,None,None,None,1
None,20,red,forward,0.0,0,None,None,None,2
None,19,red,forward,0.0,1,None,None,None,2
None,18,red,forward,0.0,2,None,None,None,2
None,17,red,forward,0.0,3,None,None,None,2
None,16,red,forward,0.0,4,None,None,None,2
left,15,green,forward,-0.5,5,None,None,None,2
None,14,green,right,0.0,6,None,None,None,2
None,13,green,right,0.0,7,None,None,None,2
None,12,green,right,0.0,8,None,None,None,2
None,11,green,right,0.0,9,None,None,None,2
right,10,red,right,2.0,10,None,None,None,2
left,9,green,forward,-0.5,11,None,None,None,2
right,8,red,right,2.0,12,None,None,None,2
None,7,red,forward,0.0,13,None,None,None,2
None,6,red,forward,0.0,14,None,None,None,2
left,5,green,forward,-0.5,15,None,None,None,2
right,4,red,right,2.0,16,None,None,None,2
left,3,green,forward,-0.5,17,None,None,None,2
right,2,red,right,2.0,18,None,None,None,2
None,1,red,left,0.0,19,None,None,None,2
forward,0,green,left,-0.5,20,None,None,None,2
right,-1,red,right,2.0,21,None,None,None,2
None,-2,green,right,0.0,22,None,None,None,2
None,-3,green,right,0.0,23,None,None,None,2
right,-4,red,right,2.0,24,None,None,left,2
None,-5,green,right,0.0,25,None,None,None,2
None,-6,green,right,0.0,26,None,None,None,2
None,-7,green,right,0.0,27,None,None,None,2
right,-8,red,right,2.0,28,None,None,None,2
left,-9,green,forward,-0.5,29,None,None,None,2
None,-10,green,right,0.0,30,None,None,None,2
None,-11,green,right,0.0,31,None,None,None,2
None,-12,green,right,0.0,32,None,None,None,2
right,-13,red,right,2.0,33,None,None,None,2
right,-14,red,right,2.0,34,None,None,None,2
forward,-15,green,left,-0.5,35,None,None,None,2
None,-16,green,right,0.0,36,None,None,None,2
None,-17,green,right,0.0,37,None,None,None,2
None,-18,green,right,0.0,38,None,None,None,2
None,-19,green,right,0.0,39,None,None,None,2
right,-20,red,right,2.0,40,None,None,None,2
None,-21,green,right,0.0,41,None,None,None,2
right,-22,red,right,2.0,42,None,None,None,2
None,-23,green,right,0.0,43,None,None,None,2
None,-24,green,right,0.0,44,None,None,None,2
right,-25,red,right,2.0,45,None,None,None,2
left,-26,green,forward,-0.5,46,None,None,None,2
right,-27,red,right,2.0,47,None,None,None,2
None,-28,green,right,0.0,48,None,None,None,2
None,-29,green,right,0.0,49,None,None,None,2
right,-30,red,right,2.0,50,None,None,None,2
right,20,red,right,2.0,0,None,None,None,3
left,19,green,forward,-0.5,1,None,None,None,3
right,18,red,right,2.0,2,None,None,None,3
None,17,red,forward,0.0,3,None,None,None,3
None,16,red,forward,0.0,4,None,None,None,3
left,15,green,forward,-0.5,5,None,None,None,3
None,14,green,right,0.0,6,None,None,None,3
None,13,green,right,0.0,7,None,None,None,3
None,12,green,right,0.0,8,None,None,None,3
right,11,red,right,2.0,9,None,None,None,3
None,10,red,forward,0.0,10,None,None,None,3
left,9,red,forward,-1.0,11,None,None,None,3
left,8,green,forward,-0.5,12,None,None,None,3
right,7,red,right,2.0,13,None,None,None,3
None,6,green,right,0.0,14,None,None,None,3
right,5,red,right,2.0,15,None,None,None,3
left,4,green,forward,-0.5,16,None,None,None,3
None,3,green,right,0.0,17,None,None,right,3
right,2,red,right,2.0,18,None,None,None,3
right,1,red,right,2.0,19,None,None,None,3
forward,0,green,left,-0.5,20,None,None,None,3
right,-1,red,right,2.0,21,None,None,None,3
None,-2,green,right,0.0,22,None,None,None,3
None,-3,green,right,0.0,23,None,None,None,3
right,-4,red,right,2.0,24,None,None,None,3
right,-5,red,right,2.0,25,None,None,None,3
None,-6,red,forward,0.0,26,None,None,None,3
left,-7,green,forward,-0.5,27,None,None,None,3
right,-8,red,right,2.0,28,None,None,None,3
None,-9,green,right,0.0,29,None,None,None,3
None,-10,green,right,0.0,30,None,None,None,3
None,-11,green,right,0.0,31,None,None,None,3
right,-12,red,right,2.0,32,None,None,None,3
left,40,green,forward,-0.5,0,None,None,None,4
None,39,green,right,0.0,1,None,None,None,4
None,38,green,right,0.0,2,None,None,None,4
None,37,green,right,0.0,3,None,None,None,4
None,36,green,right,0.0,4,None,None,None,4
right,35,red,right,2.0,5,None,None,None,4
left,34,green,forward,-0.5,6,None,left,None,4
None,33,green,right,0.0,7,None,None,None,4
right,32,red,right,2.0,8,None,None,None,4
None,31,red,forward,0.0,9,None,None,None,4
left,30,green,forward,-0.5,10,None,None,None,4
right,29,red,right,2.0,11,None,None,None,4
left,28,green,forward,-0.5,12,None,None,None,4
right,27,red,right,2.0,13,None,forward,None,4
None,26,red,forward,0.0,14,None,None,None,4
left,25,green,forward,-0.5,15,None,None,None,4
right,24,red,right,2.0,16,None,None,None,4
right,23,red,right,2.0,17,None,None,None,4
left,22,green,forward,-0.5,18,None,None,None,4
None,21,green,right,0.0,19,None,None,None,4
right,20,red,right,2.0,20,None,None,None,4
right,19,red,right,12.0,21,None,None,None,4
None,50,green,right,0.0,0,None,left,None,5
None,49,green,right,0.0,1,None,left,None,5
None,48,green,right,0.0,2,None,left,None,5
forward,47,green,right,-0.5,3,None,left,None,5
None,46,green,right,0.0,4,None,None,None,5
None,45,green,right,0.0,5,None,None,None,5
right,44,red,right,2.0,6,None,None,None,5
left,43,green,forward,-0.5,7,None,None,None,5
None,42,green,right,0.0,8,None,None,None,5
None,41,green,right,0.0,9,None,None,None,5
None,40,green,right,0.0,10,None,None,right,5
None,39,green,right,0.0,11,None,None,None,5
right,38,red,right,2.0,12,None,None,None,5
None,37,red,forward,0.0,13,None,None,None,5
None,36,red,forward,0.0,14,None,None,None,5
left,35,green,forward,-0.5,15,None,None,None,5
None,34,green,right,0.0,16,None,None,forward,5
None,33,green,right,0.0,17,None,None,forward,5
left,32,red,right,-1.0,18,None,left,None,5
right,31,red,right,2.0,19,None,left,None,5
left,30,green,forward,-0.5,20,None,None,None,5
