action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
right,40,red,right,2.0,0,None,None,None,1
None,39,red,forward,0.0,1,None,None,None,1
left,38,red,forward,-1.0,2,None,None,None,1
None,37,red,forward,0.0,3,None,None,None,1
left,36,red,forward,-1.0,4,None,None,None,1
left,35,green,forward,-0.5,5,None,None,None,1
left,34,green,right,-0.5,6,None,None,None,1
left,33,green,right,-0.5,7,None,None,None,1
left,32,red,left,-1.0,8,None,None,None,1
left,31,green,left,2.0,9,None,None,None,1
left,30,red,forward,-1.0,10,None,None,None,1
right,29,red,forward,-0.5,11,right,None,None,1
forward,28,green,left,-0.5,12,None,None,None,1
forward,27,red,left,-1.0,13,None,None,None,1
None,26,red,left,0.0,14,None,None,None,1
left,25,green,left,2.0,15,None,None,None,1
right,24,red,forward,-0.5,16,None,None,None,1
left,23,green,left,2.0,17,None,None,None,1
None,22,red,forward,0.0,18,None,None,None,1
left,21,red,forward,-1.0,19,None,None,None,1
None,20,green,forward,0.0,20,None,None,None,1
left,19,green,forward,-0.5,21,None,None,None,1
right,18,green,right,12.0,22,None,None,None,1
right,30,red,forward,-0.5,0,None,None,None,2
None,29,green,left,0.0,1,None,None,None,2
None,28,green,left,0.0,2,None,None,None,2
right,27,red,left,-0.5,3,None,None,None,2
right,26,red,right,2.0,4,None,None,None,2
right,25,red,right,2.0,5,None,None,None,2
None,24,red,forward,0.0,6,None,None,None,2
None,23,red,forward,0.0,7,None,None,None,2
forward,22,red,forward,-1.0,8,None,None,None,2
right,21,green,forward,-0.5,9,None,None,None,2
forward,20,red,left,-1.0,10,None,None,None,2
forward,19,red,left,-1.0,11,None,None,None,2
right,18,green,left,-0.5,12,None,None,None,2
right,17,green,right,2.0,13,None,None,None,2
right,16,green,right,2.0,14,None,None,None,2
None,15,green,forward,0.0,15,None,None,None,2
None,14,green,forward,0.0,16,None,None,None,2
left,13,green,forward,-0.5,17,None,None,None,2
None,12,red,right,0.0,18,None,None,None,2
None,11,red,right,0.0,19,None,None,None,2
right,10,green,right,2.0,20,None,None,None,2
right,9,green,forward,-0.5,21,None,None,None,2
right,8,green,left,-0.5,22,None,None,None,2
None,7,green,right,0.0,23,None,None,None,2
right,6,red,right,2.0,24,None,None,None,2
right,5,red,right,2.0,25,None,None,None,2
forward,4,red,forward,-1.0,26,None,None,None,2
forward,3,red,forward,-1.0,27,None,None,None,2
right,2,green,forward,-0.5,28,None,None,None,2
right,1,green,left,-0.5,29,None,None,None,2
right,0,red,right,2.0,30,None,None,None,2
left,-1,green,right,-0.5,31,None,None,None,2
right,-2,red,right,2.0,32,None,None,None,2
forward,-3,red,right,-1.0,33,None,None,None,2
None,-4,red,right,0.0,34,None,None,None,2
right,-5,red,right,2.0,35,None,None,None,2
left,-6,green,forward,-0.5,36,None,None,None,2
forward,-7,red,right,-1.0,37,None,None,None,2
forward,-8,red,right,-1.0,38,None,None,None,2
right,-9,red,right,2.0,39,None,None,None,2
left,-10,red,forward,-1.0,40,None,None,None,2
forward,-11,red,forward,-1.0,41,None,None,None,2
None,-12,red,forward,0.0,42,None,None,None,2
left,-13,red,forward,-1.0,43,None,None,None,2
forward,-14,red,forward,-1.0,44,None,None,None,2
None,-15,green,forward,0.0,45,None,None,None,2
forward,-16,green,forward,2.0,46,None,None,None,2
right,-17,green,right,2.0,47,None,None,None,2
right,25,red,right,2.0,0,None,None,None,3
forward,24,red,right,-1.0,1,None,None,None,3
right,23,red,right,2.0,2,None,None,None,3
forward,22,red,left,-1.0,3,None,None,None,3
None,21,green,left,0.0,4,None,None,None,3
None,20,green,left,0.0,5,None,None,None,3
right,19,green,left,-0.5,6,None,None,None,3
right,18,red,right,2.0,7,None,None,None,3
None,17,green,right,0.0,8,None,None,None,3
forward,16,green,right,-0.5,9,None,None,None,3
right,15,red,right,2.0,10,None,None,None,3
right,14,green,right,2.0,11,None,None,None,3
forward,13,green,forward,2.0,12,None,None,None,3
forward,12,green,left,-0.5,13,None,None,None,3
None,11,green,right,0.0,14,None,None,None,3
forward,10,red,right,-1.0,15,None,None,None,3
right,9,red,right,2.0,16,None,None,None,3
left,8,green,right,-0.5,17,None,None,None,3
right,7,green,forward,-0.5,18,None,None,None,3
left,6,red,left,-1.0,19,None,None,None,3
right,5,red,left,-0.5,20,None,None,None,3
left,4,green,forward,-0.5,21,None,None,None,3
right,3,green,right,12.0,22,None,None,None,3
forward,30,red,forward,-1.0,0,None,None,None,4
None,29,red,forward,0.0,1,None,None,None,4
right,28,red,forward,-0.5,2,None,None,None,4
None,27,red,left,0.0,3,None,None,None,4
None,26,red,left,0.0,4,None,None,None,4
right,25,green,left,-0.5,5,None,None,None,4
left,24,red,right,-1.0,6,None,None,None,4
forward,23,red,right,-1.0,7,None,None,None,4
None,22,red,right,0.0,8,None,None,None,4
None,21,green,right,0.0,9,None,None,None,4
None,20,green,right,0.0,10,None,None,None,4
right,19,green,right,2.0,11,None,None,None,4
left,18,red,right,-1.0,12,None,None,None,4
forward,17,red,right,-1.0,13,None,None,None,4
None,16,red,right,0.0,14,None,None,None,4
left,15,green,right,9.5,15,None,None,None,4
forward,50,red,forward,-1.0,0,None,None,None,5
right,49,red,forward,-0.5,1,None,None,None,5
right,48,green,left,-0.5,2,None,left,None,5
left,47,red,left,-1.0,3,None,None,None,5
right,46,red,left,-0.5,4,None,None,None,5
left,45,green,right,-0.5,5,None,None,None,5
forward,44,red,right,-1.0,6,None,None,None,5
left,43,red,right,-1.0,7,None,None,None,5
forward,42,red,right,-1.0,8,None,None,None,5
left,41,red,right,-1.0,9,None,None,None,5
forward,40,green,right,-0.5,10,None,None,None,5
None,39,red,right,0.0,11,None,None,None,5
None,38,green,right,0.0,12,None,None,None,5
left,37,green,right,-0.5,13,None,None,None,5
None,36,red,left,0.0,14,None,None,None,5
None,35,green,left,0.0,15,None,None,None,5
left,34,green,left,2.0,16,None,None,None,5
right,33,green,forward,-0.5,17,None,None,None,5
right,32,green,left,-0.5,18,forward,None,None,5
left,31,green,right,-0.5,19,None,None,None,5
forward,30,red,left,-1.0,20,None,None,None,5
left,29,green,left,2.0,21,None,None,None,5
right,28,green,forward,-0.5,22,None,None,None,5
left,27,green,left,2.0,23,None,None,forward,5
right,26,red,left,-0.5,24,None,None,right,5
None,25,green,right,0.0,25,None,None,None,5
forward,24,green,right,-0.5,26,None,None,None,5
forward,23,red,forward,-1.0,27,None,None,None,5
forward,22,green,forward,2.0,28,None,None,None,5
left,21,red,forward,-1.0,29,None,None,None,5
None,20,green,forward,0.0,30,None,None,None,5
None,19,green,forward,0.0,31,None,None,None,5
forward,18,green,forward,2.0,32,None,None,None,5
forward,17,red,forward,-1.0,33,None,None,None,5
forward,16,red,forward,-1.0,34,None,None,None,5
right,15,green,forward,-0.5,35,None,None,None,5
left,14,green,right,-0.5,36,None,None,None,5
left,13,red,left,-1.0,37,None,None,None,5
None,12,red,left,0.0,38,None,None,None,5
left,11,red,left,-1.0,39,None,None,None,5
None,10,green,left,0.0,40,None,None,None,5
None,9,green,left,0.0,41,None,None,None,5
forward,8,green,left,-0.5,42,None,None,None,5
right,7,red,left,-0.5,43,None,None,None,5
left,6,green,right,-0.5,44,None,None,None,5
left,5,green,left,2.0,45,None,None,None,5
right,4,green,forward,-0.5,46,None,None,None,5
left,3,green,left,2.0,47,None,None,None,5
left,2,green,right,-0.5,48,None,None,None,5
right,1,green,forward,-0.5,49,None,None,None,5
forward,0,green,forward,2.0,50,None,None,forward,5
None,-1,red,forward,0.0,51,None,None,None,5
forward,-2,red,forward,-1.0,52,None,None,None,5
None,-3,red,forward,0.0,53,forward,None,None,5
forward,-4,red,forward,-1.0,54,left,None,None,5
forward,-5,green,forward,2.0,55,left,None,None,5
left,-6,green,forward,-0.5,56,None,None,None,5
left,-7,green,right,-0.5,57,None,None,None,5
forward,-8,green,right,-0.5,58,None,None,None,5
forward,-9,red,right,-1.0,59,None,None,None,5
left,-10,green,right,-0.5,60,None,None,None,5
forward,-11,red,left,-1.0,61,None,None,None,5
right,-12,red,left,-0.5,62,None,None,None,5
forward,-13,green,right,-0.5,63,None,None,None,5
None,-14,red,right,0.0,64,None,None,None,5
forward,-15,red,right,-1.0,65,None,None,None,5
forward,-16,red,right,-1.0,66,None,None,None,5
forward,-17,red,right,-1.0,67,None,None,None,5
right,-18,green,right,2.0,68,None,None,None,5
left,-19,green,right,-0.5,69,None,None,None,5
forward,-20,green,right,-0.5,70,None,left,None,5
right,-21,red,right,2.0,71,None,None,None,5
forward,-22,red,right,-1.0,72,None,None,None,5
None,-23,red,right,0.0,73,None,None,None,5
right,-24,red,right,2.0,74,None,None,None,5
right,-25,red,forward,-0.5,75,None,None,None,5
left,-26,green,left,2.0,76,None,None,None,5
None,-27,red,forward,0.0,77,None,None,None,5
None,-28,green,forward,0.0,78,None,None,None,5
right,-29,green,forward,-0.5,79,None,None,None,5
left,-30,green,left,2.0,80,None,None,None,5
forward,-31,green,left,-0.5,81,None,None,None,5
forward,-32,red,forward,-1.0,82,None,None,None,5
forward,-33,red,forward,-1.0,83,None,None,None,5
None,-34,green,forward,0.0,84,None,None,None,5
None,-35,green,forward,0.0,85,None,None,None,5
right,-36,green,forward,-0.5,86,None,None,None,5
None,-37,red,left,0.0,87,None,None,None,5
right,-38,red,left,-0.5,88,None,None,None,5
right,-39,green,left,-0.5,89,None,None,None,5
forward,-40,green,forward,2.0,90,None,None,None,5
left,-41,green,forward,-0.5,91,None,None,None,5
right,-42,green,right,2.0,92,None,None,None,5
None,-43,red,right,0.0,93,None,None,None,5
left,-44,red,right,-1.0,94,None,None,None,5
right,-45,red,right,2.0,95,None,None,None,5
None,20,red,forward,0.0,0,None,None,None,6
right,19,red,forward,-0.5,1,None,None,None,6
None,18,green,left,0.0,2,None,None,None,6
right,17,red,left,-0.5,3,None,None,None,6
None,16,red,right,0.0,4,None,None,None,6
right,15,red,right,2.0,5,None,None,None,6
right,14,green,right,2.0,6,None,None,None,6
left,13,red,forward,-1.0,7,None,None,None,6
forward,12,red,forward,-1.0,8,None,None,None,6
None,11,green,forward,0.0,9,None,None,None,6
left,10,green,forward,-0.5,10,None,None,None,6
right,9,red,right,2.0,11,None,None,None,6
left,8,green,forward,-0.5,12,None,None,None,6
None,7,green,right,0.0,13,None,None,None,6
right,6,green,right,2.0,14,None,None,None,6
right,5,green,forward,-0.5,15,left,None,None,6
right,4,red,left,-0.5,16,None,None,None,6
left,3,red,right,-1.0,17,None,None,None,6
left,2,red,right,-1.0,18,None,None,None,6
None,1,red,right,0.0,19,None,None,None,6
forward,0,green,right,-0.5,20,None,None,None,6
left,-1,green,right,-0.5,21,None,None,None,6
forward,-2,red,left,-1.0,22,None,None,None,6
right,-3,red,left,-0.5,23,None,None,None,6
right,-4,green,right,2.0,24,None,None,None,6
forward,-5,green,right,-0.5,25,None,None,None,6
forward,-6,green,right,-0.5,26,None,None,None,6
forward,-7,green,right,-0.5,27,None,None,None,6
left,-8,green,right,-0.5,28,None,None,None,6
left,-9,green,forward,-0.5,29,None,None,None,6
left,-10,red,right,-1.0,30,None,None,None,6
None,-11,red,right,0.0,31,None,None,None,6
right,-12,red,right,2.0,32,None,None,None,6
left,-13,green,forward,-0.5,33,None,None,None,6
left,-14,red,right,-1.0,34,None,None,None,6
None,-15,red,right,0.0,35,None,None,None,6
forward,-16,green,right,-0.5,36,None,None,None,6
left,-17,green,right,-0.5,37,None,None,None,6
None,-18,green,right,0.0,38,None,None,None,6
right,-19,red,right,2.0,39,None,None,None,6
left,-20,green,right,-0.5,40,None,None,None,6
left,-21,green,forward,-0.5,41,None,None,None,6
right,-22,green,right,2.0,42,None,None,None,6
left,-23,green,forward,-0.5,43,None,None,None,6
right,-24,red,right,2.0,44,None,None,None,6
right,-25,green,forward,-0.5,45,None,None,None,6
right,-26,red,left,-0.5,46,None,None,None,6
forward,-27,red,right,-1.0,47,None,None,None,6
None,-28,red,right,0.0,48,None,None,None,6
None,-29,red,right,0.0,49,None,None,None,6
forward,-30,green,right,-0.5,50,None,None,None,6
right,-31,green,right,2.0,51,None,None,None,6
None,-32,red,right,0.0,52,None,None,None,6
forward,-33,red,right,-1.0,53,None,None,None,6
right,-34,green,right,2.0,54,None,None,None,6
right,-35,red,forward,-0.5,55,None,None,None,6
left,-36,green,left,2.0,56,None,None,None,6
None,-37,red,forward,0.0,57,None,None,None,6
forward,-38,red,forward,-1.0,58,forward,None,None,6
left,-39,red,forward,-1.0,59,None,None,None,6
left,-40,green,forward,-0.5,60,None,None,None,6
None,-41,green,right,0.0,61,None,None,None,6
None,-42,green,right,0.0,62,None,None,None,6
forward,-43,green,right,-0.5,63,None,None,None,6
None,-44,red,right,0.0,64,None,None,None,6
right,-45,green,right,2.0,65,None,None,None,6
right,-46,red,forward,-0.5,66,None,None,None,6
left,-47,red,left,-1.0,67,None,None,None,6
None,-48,red,left,0.0,68,None,None,None,6
None,-49,red,left,0.0,69,None,None,None,6
forward,-50,green,left,-0.5,70,None,None,None,6
None,-51,red,left,0.0,71,None,None,None,6
right,-52,green,left,-0.5,72,None,None,None,6
right,-53,red,right,2.0,73,None,None,None,6
left,-54,green,right,-0.5,74,None,None,None,6
None,-55,red,right,0.0,75,None,None,None,6
forward,-56,red,right,-1.0,76,None,None,None,6
None,-57,red,right,0.0,77,None,None,None,6
