action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
left,25,red,right,-1.0,0,None,None,None,1
left,24,red,right,-1.0,1,None,None,None,1
forward,23,red,right,-1.0,2,None,None,None,1
right,22,green,right,2.0,3,None,None,None,1
None,21,red,forward,0.0,4,None,None,None,1
right,20,green,forward,-0.5,5,None,None,None,1
forward,19,red,left,-1.0,6,None,None,None,1
None,18,red,left,0.0,7,forward,None,None,1
left,17,green,left,2.0,8,forward,None,None,1
right,16,red,forward,-0.5,9,None,None,None,1
forward,15,red,left,-1.0,10,None,None,None,1
left,14,red,left,-1.0,11,None,None,None,1
None,13,green,left,0.0,12,None,None,None,1
right,12,green,left,-0.5,13,None,None,None,1
left,11,green,right,-0.5,14,None,None,None,1
left,10,green,left,2.0,15,None,None,None,1
left,9,red,forward,-1.0,16,None,None,None,1
forward,8,red,forward,-1.0,17,None,None,None,1
None,7,green,forward,0.0,18,None,None,None,1
left,6,green,forward,-0.5,19,None,None,None,1
left,5,green,right,-0.5,20,None,None,None,1
left,4,green,right,-0.5,21,None,None,None,1
forward,3,green,left,-0.5,22,None,None,left,1
None,2,red,left,0.0,23,None,None,None,1
forward,1,green,left,-0.5,24,None,None,None,1
forward,0,green,left,-0.5,25,None,None,None,1
forward,50,red,forward,-1.0,0,None,None,None,2
forward,49,red,forward,-1.0,1,None,None,None,2
forward,48,red,forward,-1.0,2,None,None,None,2
forward,47,red,forward,-1.0,3,None,None,None,2
forward,46,green,forward,2.0,4,None,None,None,2
forward,45,green,forward,2.0,5,None,None,None,2
forward,44,green,forward,2.0,6,None,None,forward,2
forward,43,red,forward,-1.0,7,None,None,None,2
forward,42,red,forward,-1.0,8,None,None,None,2
forward,41,green,forward,2.0,9,None,None,None,2
forward,40,red,forward,-1.0,10,None,None,None,2
forward,39,red,forward,-1.0,11,None,None,None,2
forward,38,green,forward,2.0,12,None,None,None,2
forward,37,red,forward,-1.0,13,None,None,None,2
forward,36,red,forward,-1.0,14,None,None,None,2
forward,35,green,forward,2.0,15,None,None,None,2
forward,34,green,forward,2.0,16,None,None,None,2
forward,33,red,right,-1.0,17,None,None,None,2
forward,32,red,right,-1.0,18,None,None,None,2
forward,31,red,right,-1.0,19,None,None,None,2
left,30,green,right,-0.5,20,None,None,None,2
right,29,red,forward,-0.5,21,None,left,None,2
forward,28,green,forward,2.0,22,None,None,None,2
forward,27,red,forward,-1.0,23,None,None,None,2
forward,26,green,forward,2.0,24,None,None,None,2
forward,25,red,forward,-1.0,25,None,None,None,2
forward,24,red,forward,-1.0,26,None,None,None,2
forward,23,red,forward,-1.0,27,None,None,None,2
forward,22,green,forward,2.0,28,None,None,None,2
forward,21,red,forward,-1.0,29,None,None,None,2
forward,20,green,forward,2.0,30,None,None,None,2
forward,19,green,forward,2.0,31,None,None,None,2
forward,18,green,forward,2.0,32,None,None,None,2
forward,17,green,forward,2.0,33,None,None,None,2
forward,16,green,left,-0.5,34,None,None,None,2
forward,15,red,forward,-1.0,35,None,None,None,2
forward,14,red,forward,-1.0,36,None,None,None,2
forward,13,red,forward,-1.0,37,None,None,None,2
forward,12,red,forward,-1.0,38,None,None,None,2
forward,11,red,forward,-1.0,39,None,None,None,2
forward,10,green,forward,2.0,40,None,None,None,2
forward,9,red,forward,-1.0,41,None,None,None,2
forward,8,green,forward,2.0,42,None,None,None,2
forward,7,red,forward,-1.0,43,None,None,None,2
forward,6,green,forward,2.0,44,None,None,None,2
forward,5,red,forward,-1.0,45,None,None,None,2
forward,4,red,forward,-1.0,46,None,None,None,2
forward,3,red,forward,-1.0,47,None,None,None,2
forward,2,green,forward,2.0,48,None,None,None,2
forward,1,green,forward,2.0,49,None,None,None,2
forward,0,green,forward,2.0,50,None,None,None,2
left,50,green,right,-0.5,0,None,None,None,3
right,49,red,left,-0.5,1,None,None,None,3
right,48,red,left,-0.5,2,None,None,None,3
left,47,green,right,-0.5,3,None,None,None,3
forward,46,red,right,-1.0,4,None,None,None,3
forward,45,red,right,-1.0,5,None,None,None,3
left,44,green,right,-0.5,6,None,None,None,3
left,43,red,left,-1.0,7,None,None,None,3
forward,42,green,left,-0.5,8,None,None,None,3
left,41,red,left,-1.0,9,left,None,None,3
left,40,red,left,-1.0,10,None,None,left,3
left,39,red,left,-1.0,11,None,None,None,3
forward,38,green,left,-0.5,12,None,None,None,3
forward,37,green,left,-0.5,13,None,None,None,3
forward,36,red,left,-1.0,14,None,None,None,3
forward,35,green,left,-0.5,15,None,None,None,3
forward,34,red,left,-1.0,16,None,None,None,3
forward,33,red,left,-1.0,17,None,None,None,3
left,32,red,left,-1.0,18,None,None,None,3
left,31,red,left,-1.0,19,None,None,None,3
forward,30,green,left,-0.5,20,None,None,None,3
forward,29,green,left,-0.5,21,None,None,None,3
forward,28,red,left,-1.0,22,None,None,None,3
forward,27,red,left,-1.0,23,None,None,None,3
