action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
right,40,green,forward,-0.5,0,None,None,None,1
left,39,green,left,2.0,1,None,None,None,1
left,38,red,forward,-1.0,2,None,None,None,1
right,37,green,forward,-0.5,3,None,None,None,1
None,36,green,left,0.0,4,None,None,None,1
forward,35,green,left,-0.5,5,None,None,None,1
right,34,green,left,-0.5,6,None,None,None,1
right,33,green,right,2.0,7,None,None,None,1
right,32,green,right,2.0,8,None,None,None,1
right,31,green,forward,-0.5,9,None,None,None,1
right,30,red,left,-0.5,10,None,None,None,1
None,29,red,right,0.0,11,None,None,None,1
None,28,green,right,0.0,12,None,None,None,1
left,27,green,right,-0.5,13,None,None,None,1
right,26,green,left,-0.5,14,None,None,None,1
None,25,red,left,0.0,15,None,None,None,1
right,24,green,left,-0.5,16,None,None,None,1
forward,23,green,right,-0.5,17,None,None,None,1
right,22,red,forward,-0.5,18,None,None,None,1
forward,21,red,forward,-1.0,19,None,None,None,1
None,20,red,forward,0.0,20,None,None,None,1
left,19,green,forward,-0.5,21,None,None,None,1
right,18,green,right,2.0,22,None,None,None,1
left,17,green,forward,-0.5,23,None,None,None,1
right,16,green,right,2.0,24,None,None,None,1
forward,15,red,forward,-1.0,25,None,None,None,1
forward,14,red,forward,-1.0,26,None,None,None,1
left,13,green,forward,-0.5,27,None,None,None,1
left,12,green,right,-0.5,28,None,None,None,1
None,11,green,right,0.0,29,None,None,None,1
left,10,green,right,-0.5,30,None,None,None,1
right,9,green,left,-0.5,31,None,None,None,1
left,8,green,right,-0.5,32,None,None,None,1
forward,7,green,left,-0.5,33,None,None,None,1
left,6,red,left,-1.0,34,None,None,None,1
left,5,red,left,-1.0,35,None,None,None,1
None,4,green,left,0.0,36,None,None,None,1
None,3,green,left,0.0,37,None,None,None,1
None,2,green,left,0.0,38,None,None,None,1
right,1,red,left,-0.5,39,None,None,None,1
forward,0,red,right,-1.0,40,None,None,None,1
None,30,red,right,0.0,0,None,None,None,2
left,29,red,right,-1.0,1,None,None,None,2
left,28,red,right,-1.0,2,None,None,None,2
forward,27,red,right,-1.0,3,None,None,None,2
right,26,red,right,2.0,4,None,None,None,2
forward,25,red,forward,-1.0,5,None,None,None,2
forward,24,red,forward,-1.0,6,None,None,None,2
None,23,red,forward,0.0,7,None,None,None,2
forward,22,green,forward,2.0,8,None,None,None,2
forward,21,green,forward,2.0,9,None,None,None,2
None,20,green,left,0.0,10,None,None,None,2
None,19,green,left,0.0,11,None,None,None,2
forward,18,red,left,-1.0,12,None,None,None,2
forward,17,red,left,-1.0,13,None,None,None,2
left,16,red,left,-1.0,14,None,None,None,2
right,15,green,left,-0.5,15,None,None,None,2
forward,14,green,right,-0.5,16,None,None,None,2
None,13,red,forward,0.0,17,None,None,None,2
None,12,red,forward,0.0,18,None,None,None,2
None,11,red,forward,0.0,19,None,None,None,2
forward,10,green,forward,12.0,20,None,None,None,2
None,30,red,left,0.0,0,right,None,None,3
None,29,red,left,0.0,1,None,None,None,3
None,28,red,left,0.0,2,None,None,None,3
None,27,red,left,0.0,3,None,None,None,3
right,26,green,left,-0.5,4,None,None,None,3
forward,25,red,right,-1.0,5,None,None,None,3
forward,24,red,right,-1.0,6,None,None,None,3
forward,23,red,right,-1.0,7,None,None,None,3
None,22,red,right,0.0,8,None,None,None,3
forward,21,red,right,-1.0,9,None,None,None,3
forward,20,green,right,-0.5,10,None,None,None,3
forward,19,green,right,-0.5,11,None,None,None,3
forward,18,red,right,-1.0,12,None,None,None,3
forward,17,red,right,-1.0,13,None,None,None,3
forward,16,red,right,-1.0,14,None,None,None,3
None,15,green,right,0.0,15,None,None,None,3
None,14,green,right,0.0,16,None,None,None,3
None,13,green,right,0.0,17,None,None,None,3
